timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643794502899,12406,Mazi-1,200,OK,Thread Group 1-1,text,true,,392476,141,30,30,https://cityfashion.mk/product-category/mazi/,12270,0,0
1643794502968,13068,Mazi,200,OK,Thread Group 1-6,text,true,,392970,286,30,30,https://cityfashion.mk/product-category/mazi/,24,0,0
1643794502968,24,Mazi-0,301,Moved Permanently,Thread Group 1-6,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,24,0,0
1643794502992,13044,Mazi-1,200,OK,Thread Group 1-6,text,true,,392595,141,30,30,https://cityfashion.mk/product-category/mazi/,12910,0,0
1643794502838,13579,Mazi,200,OK,Thread Group 1-10,text,true,,392962,286,30,30,https://cityfashion.mk/product-category/mazi/,31,0,0
1643794502838,31,Mazi-0,301,Moved Permanently,Thread Group 1-10,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,31,0,0
1643794502869,13548,Mazi-1,200,OK,Thread Group 1-10,text,true,,392587,141,30,30,https://cityfashion.mk/product-category/mazi/,13461,0,0
1643794504009,13186,Mazi,200,OK,Thread Group 1-2,text,true,,392978,286,30,30,https://cityfashion.mk/product-category/mazi/,28,0,0
1643794504009,28,Mazi-0,301,Moved Permanently,Thread Group 1-2,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/mazi/,28,0,0
1643794504037,13158,Mazi-1,200,OK,Thread Group 1-2,text,true,,392603,141,30,30,https://cityfashion.mk/product-category/mazi/,13061,0,0
1643794505030,12684,Zeni,200,OK,Thread Group 1-17,text,true,,388423,286,30,30,https://cityfashion.mk/product-category/zeni/,22,0,0
1643794505030,22,Zeni-0,301,Moved Permanently,Thread Group 1-17,text,true,,375,145,30,30,http://www.cityfashion.mk/product-category/zeni/,22,0,0
1643794505052,12662,Zeni-1,200,OK,Thread Group 1-17,text,true,,388048,141,30,30,https://cityfashion.mk/product-category/zeni/,12561,0,0
1643794505665,12725,Mazi,200,OK,Thread Group 1-26,text,true,,392947,286,29,29,https://cityfashion.mk/product-category/mazi/,34,0,0
1643794505665,34,Mazi-0,301,Moved Permanently,Thread Group 1-26,text,true,,375,145,29,29,http://www.cityfashion.mk/product-category/mazi/,34,0,0
1643794505699,12691,Mazi-1,200,OK,Thread Group 1-26,text,true,,392572,141,29,29,https://cityfashion.mk/product-category/mazi/,12592,0,0
1643794505812,13111,Mazi,200,OK,Thread Group 1-11,text,true,,392859,286,29,29,https://cityfashion.mk/product-category/mazi/,18,0,0
1643794505812,18,Mazi-0,301,Moved Permanently,Thread Group 1-11,text,true,,375,145,29,29,http://www.cityfashion.mk/product-category/mazi/,18,0,0
1643794505830,13093,Mazi-1,200,OK,Thread Group 1-11,text,true,,392484,141,29,29,https://cityfashion.mk/product-category/mazi/,12913,0,0
1643794506164,12825,Mazi,200,OK,Thread Group 1-18,text,true,,392931,286,29,29,https://cityfashion.mk/product-category/mazi/,23,0,0
1643794506164,23,Mazi-0,301,Moved Permanently,Thread Group 1-18,text,true,,375,145,29,29,http://www.cityfashion.mk/product-category/mazi/,23,0,0
1643794506187,12802,Mazi-1,200,OK,Thread Group 1-18,text,true,,392556,141,29,29,https://cityfashion.mk/product-category/mazi/,12573,0,0
1643794506362,12727,Mazi,200,OK,Thread Group 1-8,text,true,,392970,286,29,29,https://cityfashion.mk/product-category/mazi/,17,0,0
1643794506362,17,Mazi-0,301,Moved Permanently,Thread Group 1-8,text,true,,375,145,29,29,http://www.cityfashion.mk/product-category/mazi/,17,0,0
1643794506379,12710,Mazi-1,200,OK,Thread Group 1-8,text,true,,392595,141,29,29,https://cityfashion.mk/product-category/mazi/,12612,0,0
1643794506505,12703,Zeni,200,OK,Thread Group 1-22,text,true,,388392,286,29,29,https://cityfashion.mk/product-category/zeni/,17,0,0
1643794506505,17,Zeni-0,301,Moved Permanently,Thread Group 1-22,text,true,,375,145,29,29,http://www.cityfashion.mk/product-category/zeni/,17,0,0
1643794506522,12686,Zeni-1,200,OK,Thread Group 1-22,text,true,,388017,141,29,29,https://cityfashion.mk/product-category/zeni/,12551,0,0
1643794507731,11538,Zeni,200,OK,Thread Group 1-27,text,true,,388431,286,28,28,https://cityfashion.mk/product-category/zeni/,15,0,0
1643794507731,15,Zeni-0,301,Moved Permanently,Thread Group 1-27,text,true,,375,145,28,28,http://www.cityfashion.mk/product-category/zeni/,15,0,0
1643794507746,11523,Zeni-1,200,OK,Thread Group 1-27,text,true,,388056,141,28,28,https://cityfashion.mk/product-category/zeni/,11398,0,0
1643794506524,12970,Zeni,200,OK,Thread Group 1-29,text,true,,388415,286,27,27,https://cityfashion.mk/product-category/zeni/,29,0,0
1643794506524,29,Zeni-0,301,Moved Permanently,Thread Group 1-29,text,true,,375,145,27,27,http://www.cityfashion.mk/product-category/zeni/,29,0,0
1643794506553,12941,Zeni-1,200,OK,Thread Group 1-29,text,true,,388040,141,27,27,https://cityfashion.mk/product-category/zeni/,12839,0,0
1643794508793,11008,Zeni,200,OK,Thread Group 1-30,text,true,,388328,286,26,26,https://cityfashion.mk/product-category/zeni/,27,0,0
1643794508793,27,Zeni-0,301,Moved Permanently,Thread Group 1-30,text,true,,375,145,26,26,http://www.cityfashion.mk/product-category/zeni/,27,0,0
1643794508821,10980,Zeni-1,200,OK,Thread Group 1-30,text,true,,387953,141,26,26,https://cityfashion.mk/product-category/zeni/,10860,0,0
1643794509002,11628,Zeni,200,OK,Thread Group 1-19,text,true,,388344,286,25,25,https://cityfashion.mk/product-category/zeni/,24,0,0
1643794509002,24,Zeni-0,301,Moved Permanently,Thread Group 1-19,text,true,,375,145,25,25,http://www.cityfashion.mk/product-category/zeni/,24,0,0
1643794509026,11604,Zeni-1,200,OK,Thread Group 1-19,text,true,,387969,141,25,25,https://cityfashion.mk/product-category/zeni/,11474,0,0
1643794509117,12116,Zeni,200,OK,Thread Group 1-12,text,true,,388408,286,24,24,https://cityfashion.mk/product-category/zeni/,15,0,0
1643794509117,15,Zeni-0,301,Moved Permanently,Thread Group 1-12,text,true,,375,145,24,24,http://www.cityfashion.mk/product-category/zeni/,15,0,0
1643794509132,12101,Zeni-1,200,OK,Thread Group 1-12,text,true,,388033,141,24,24,https://cityfashion.mk/product-category/zeni/,11990,0,0
1643794509640,12179,Zeni,200,OK,Thread Group 1-28,text,true,,388392,286,23,23,https://cityfashion.mk/product-category/zeni/,22,0,0
1643794509640,22,Zeni-0,301,Moved Permanently,Thread Group 1-28,text,true,,375,145,23,23,http://www.cityfashion.mk/product-category/zeni/,22,0,0
1643794509662,12157,Zeni-1,200,OK,Thread Group 1-28,text,true,,388017,141,23,23,https://cityfashion.mk/product-category/zeni/,12047,0,0
1643794510511,12004,Zeni,200,OK,Thread Group 1-3,text,true,,388431,286,22,22,https://cityfashion.mk/product-category/zeni/,27,0,0
